股票代码,股票名称,交易日期,开盘价 ,收盘价,涨跌,涨幅,最低价,最高价,成交量,成交额,换手率
600011,华能国际,2019-10-11,5.87,5.86,0.00,0.00%,5.83,5.88,210311,12310.87,0.20%
600011,华能国际,2019-10-10,5.81,5.86,0.06,1.03%,5.80,5.87,110209,6445.00,0.10%
600011,华能国际,2019-10-09,5.78,5.80,-0.02,-0.34%,5.77,5.81,90045,5217.00,0.09%
600011,华能国际,2019-10-08,5.81,5.82,0.02,0.34%,5.75,5.84,155492,9018.25,0.15%
600011,华能国际,2019-09-30,5.88,5.80,-0.10,-1.69%,5.80,5.88,172033,10029.84,0.16%
600011,华能国际,2019-09-27,5.95,5.90,-0.06,-1.01%,5.80,5.96,316441,18516.17,0.30%
600011,华能国际,2019-09-26,5.99,5.96,-0.01,-0.17%,5.95,6.00,146032,8705.87,0.14%
600011,华能国际,2019-09-25,6.07,5.97,-0.09,-1.49%,5.97,6.08,193859,11629.47,0.18%
600011,华能国际,2019-09-24,6.05,6.06,0.00,0.00%,6.04,6.10,134924,8191.82,0.13%
600011,华能国际,2019-09-23,6.12,6.06,-0.04,-0.66%,6.01,6.12,299076,18085.04,0.28%
600011,华能国际,2019-09-20,6.16,6.10,-0.05,-0.81%,6.10,6.16,304212,18610.45,0.29%
600011,华能国际,2019-09-19,6.24,6.15,-0.07,-1.13%,6.12,6.24,294501,18126.51,0.28%
600011,华能国际,2019-09-18,6.23,6.22,0.00,0.00%,6.22,6.26,111388,6945.71,0.11%
600011,华能国际,2019-09-17,6.34,6.22,-0.12,-1.89%,6.20,6.34,239156,14974.53,0.23%
600011,华能国际,2019-09-16,6.36,6.34,-0.03,-0.47%,6.30,6.37,129174,8183.75,0.12%
600011,华能国际,2019-09-12,6.36,6.37,0.01,0.16%,6.32,6.37,179776,11407.21,0.17%
600011,华能国际,2019-09-11,6.34,6.36,-0.01,-0.16%,6.34,6.38,133470,8483.80,0.13%
600011,华能国际,2019-09-10,6.40,6.37,-0.02,-0.31%,6.34,6.40,142477,9061.10,0.14%
600011,华能国际,2019-09-09,6.39,6.39,0.03,0.47%,6.32,6.39,189544,12068.07,0.18%
600011,华能国际,2019-09-06,6.39,6.36,-0.05,-0.78%,6.32,6.40,206284,13114.15,0.20%
600011,华能国际,2019-09-05,6.39,6.41,0.04,0.63%,6.35,6.44,346652,22152.54,0.33%
600011,华能国际,2019-09-04,6.31,6.37,0.05,0.79%,6.27,6.37,160724,10165.46,0.15%
600011,华能国际,2019-09-03,6.38,6.32,-0.07,-1.10%,6.24,6.40,278001,17533.82,0.26%
600011,华能国际,2019-09-02,6.32,6.39,0.09,1.43%,6.29,6.40,207154,13200.86,0.20%
600011,华能国际,2019-08-30,6.31,6.30,0.01,0.16%,6.28,6.37,191673,12121.83,0.18%
600011,华能国际,2019-08-29,6.35,6.29,-0.04,-0.63%,6.23,6.35,173764,10906.68,0.17%
600011,华能国际,2019-08-28,6.48,6.33,-0.14,-2.16%,6.31,6.51,259528,16554.57,0.25%
600011,华能国际,2019-08-27,6.49,6.47,0.01,0.15%,6.45,6.53,230585,14951.74,0.22%
600011,华能国际,2019-08-26,6.59,6.46,-0.20,-3.00%,6.43,6.65,208268,13576.45,0.20%
600011,华能国际,2019-08-23,6.68,6.66,-0.04,-0.60%,6.60,6.72,144063,9572.90,0.14%
600011,华能国际,2019-08-22,6.74,6.70,-0.03,-0.45%,6.68,6.75,97625,6546.60,0.09%
600011,华能国际,2019-08-21,6.74,6.73,-0.06,-0.88%,6.69,6.77,127557,8585.64,0.12%
600011,华能国际,2019-08-20,6.80,6.79,-0.04,-0.59%,6.68,6.81,277222,18662.22,0.26%
600011,华能国际,2019-08-19,6.85,6.83,0.00,0.00%,6.75,6.88,264650,17967.60,0.25%
600011,华能国际,2019-08-16,6.93,6.83,-0.10,-1.44%,6.80,6.93,183945,12605.45,0.18%
600011,华能国际,2019-08-15,6.74,6.93,0.07,1.02%,6.65,7.04,262412,18182.79,0.25%
600011,华能国际,2019-08-14,6.89,6.86,0.03,0.44%,6.76,6.93,206476,14170.09,0.20%
600011,华能国际,2019-08-13,6.64,6.83,0.18,2.71%,6.58,6.87,294133,19958.36,0.28%
600011,华能国际,2019-08-12,6.55,6.65,0.09,1.37%,6.52,6.70,173572,11503.61,0.17%
600011,华能国际,2019-08-09,6.70,6.56,-0.15,-2.24%,6.54,6.72,201505,13304.69,0.19%
600011,华能国际,2019-08-08,6.75,6.71,-0.03,-0.45%,6.65,6.80,164564,11037.89,0.16%
600011,华能国际,2019-08-07,6.75,6.74,-0.06,-0.88%,6.66,6.85,236844,15953.60,0.23%
600011,华能国际,2019-08-06,6.63,6.80,0.07,1.04%,6.58,6.84,237451,15940.86,0.23%
600011,华能国际,2019-08-05,6.75,6.73,-0.08,-1.17%,6.67,6.85,370848,25107.93,0.35%
600011,华能国际,2019-08-02,6.70,6.81,0.04,0.59%,6.67,6.94,590466,40135.27,0.56%
600011,华能国际,2019-08-01,6.52,6.77,0.25,3.83%,6.51,6.78,434685,29057.84,0.41%
600011,华能国际,2019-07-31,6.52,6.52,0.01,0.15%,6.42,6.56,180058,11697.24,0.17%
600011,华能国际,2019-07-30,6.51,6.51,-0.03,-0.46%,6.47,6.58,165305,10758.08,0.16%
600011,华能国际,2019-07-29,6.43,6.54,0.12,1.87%,6.43,6.58,216760,14117.33,0.21%
600011,华能国际,2019-07-26,6.40,6.42,0.02,0.31%,6.36,6.46,156332,10032.43,0.15%
600011,华能国际,2019-07-25,6.39,6.40,-0.02,-0.31%,6.37,6.44,115877,7410.57,0.11%
600011,华能国际,2019-07-24,6.43,6.42,-0.01,-0.16%,6.37,6.50,154929,9965.86,0.15%
600011,华能国际,2019-07-23,6.29,6.43,0.14,2.23%,6.26,6.45,177897,11362.23,0.17%
600011,华能国际,2019-07-22,6.35,6.29,-0.05,-0.79%,6.28,6.39,146509,9272.32,0.14%
600011,华能国际,2019-07-19,6.30,6.34,0.08,1.28%,6.26,6.38,160254,10164.93,0.15%
600011,华能国际,2019-07-18,6.24,6.26,-0.01,-0.16%,6.21,6.30,137986,8643.07,0.13%
600011,华能国际,2019-07-17,6.37,6.27,-0.10,-1.57%,6.26,6.37,154087,9702.99,0.15%
600011,华能国际,2019-07-16,6.29,6.37,0.08,1.27%,6.26,6.37,128128,8118.70,0.12%
600011,华能国际,2019-07-15,6.27,6.29,0.01,0.16%,6.17,6.32,109459,6857.81,0.10%
600011,华能国际,2019-07-12,6.23,6.28,0.07,1.13%,6.19,6.31,133150,8352.81,0.13%
600011,华能国际,2019-07-11,6.26,6.21,-0.04,-0.64%,6.15,6.28,116611,7243.20,0.11%
600011,华能国际,2019-07-10,6.30,6.25,-0.03,-0.48%,6.22,6.31,81193,5072.30,0.08%
600011,华能国际,2019-07-09,6.23,6.28,0.04,0.64%,6.21,6.31,139505,8735.53,0.13%
600011,华能国际,2019-07-08,6.32,6.24,-0.08,-1.27%,6.16,6.32,178494,11136.94,0.17%
600011,华能国际,2019-07-05,6.31,6.32,0.02,0.32%,6.26,6.34,163419,10311.99,0.16%
600011,华能国际,2019-07-04,6.31,6.30,-0.02,-0.32%,6.25,6.42,239086,15116.80,0.23%
600011,华能国际,2019-07-03,6.25,6.32,0.07,1.12%,6.21,6.35,239150,15001.04,0.23%
600011,华能国际,2019-07-02,6.25,6.25,-0.01,-0.16%,6.18,6.27,255454,15906.46,0.24%
600011,华能国际,2019-06-14,6.68,6.64,-0.01,-0.15%,6.61,6.79,199085,13318.82,0.19%
600011,华能国际,2019-06-13,6.59,6.65,0.01,0.15%,6.58,6.68,146612,9753.03,0.14%
600011,华能国际,2019-06-12,6.60,6.64,0.03,0.45%,6.55,6.67,216804,14347.08,0.21%
600011,华能国际,2019-06-11,6.60,6.61,0.02,0.30%,6.52,6.70,292177,19281.93,0.28%
600011,华能国际,2019-06-10,6.71,6.59,-0.07,-1.05%,6.54,6.72,197285,13044.44,0.19%
600011,华能国际,2019-06-06,6.62,6.66,0.06,0.91%,6.62,6.73,221191,14777.92,0.21%
600011,华能国际,2019-06-05,6.62,6.60,0.01,0.15%,6.59,6.69,190325,12646.66,0.18%
600011,华能国际,2019-06-04,6.58,6.59,0.00,0.00%,6.56,6.65,214166,14137.56,0.20%
600011,华能国际,2019-06-03,6.48,6.59,0.09,1.38%,6.47,6.63,288617,19011.58,0.27%
600011,华能国际,2019-05-31,6.39,6.50,0.14,2.20%,6.37,6.55,257938,16737.60,0.25%
600011,华能国际,2019-05-30,6.31,6.36,0.02,0.32%,6.30,6.38,137951,8759.74,0.13%
600011,华能国际,2019-05-29,6.28,6.34,0.06,0.96%,6.24,6.38,150058,9516.06,0.14%
600011,华能国际,2019-05-28,6.28,6.28,0.02,0.32%,6.21,6.36,154267,9710.58,0.15%
600011,华能国际,2019-05-27,6.15,6.26,0.09,1.46%,6.14,6.29,170458,10619.12,0.16%
600011,华能国际,2019-05-24,6.08,6.17,0.08,1.31%,6.08,6.21,196476,12066.99,0.19%
600011,华能国际,2019-05-23,6.14,6.09,-0.07,-1.14%,6.05,6.16,140704,8571.40,0.13%
600011,华能国际,2019-05-22,6.19,6.16,-0.04,-0.65%,6.16,6.21,109086,6742.78,0.10%
600011,华能国际,2019-05-21,6.15,6.20,0.03,0.49%,6.15,6.24,151378,9391.41,0.14%
600011,华能国际,2019-05-20,6.10,6.17,0.03,0.49%,6.05,6.19,171479,10529.93,0.16%
600011,华能国际,2019-05-17,6.44,6.14,-0.31,-4.81%,6.10,6.45,456678,28544.29,0.43%
600011,华能国际,2019-05-16,6.56,6.45,-0.12,-1.83%,6.43,6.56,371483,24050.47,0.35%
600011,华能国际,2019-05-15,6.55,6.57,0.03,0.46%,6.50,6.59,281635,18434.76,0.27%
